Vardas         Pavarde         ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	Egz.
Vardas409      Pavarde409      2	1	1	7	7	10	1	2	6	5	
Vardas410      Pavarde410      7	1	6	4	2	9	10	4	4	7	
Vardas411      Pavarde411      7	6	8	7	6	3	1	5	3	6	
Vardas412      Pavarde412      4	10	7	8	3	5	1	8	4	10	
Vardas413      Pavarde413      3	6	3	8	3	1	6	3	8	5	
Vardas414      Pavarde414      8	1	10	10	6	5	4	8	5	1	
Vardas415      Pavarde415      10	5	9	4	10	10	1	10	4	9	
Vardas416      Pavarde416      4	3	8	10	7	8	3	2	4	2	
Vardas417      Pavarde417      1	2	5	1	5	1	7	10	4	6	
Vardas418      Pavarde418      10	10	10	5	10	3	2	9	7	3	
Vardas419      Pavarde419      2	10	4	5	2	7	7	5	2	1	
Vardas420      Pavarde420      6	4	9	8	2	10	5	8	10	2	
Vardas421      Pavarde421      10	6	9	2	7	8	7	8	1	2	
Vardas422      Pavarde422      4	10	9	3	8	2	5	1	6	10	
Vardas423      Pavarde423      1	4	9	3	3	4	8	10	6	4	
Vardas424      Pavarde424      9	9	2	6	4	4	6	4	3	7	
Vardas425      Pavarde425      2	5	5	2	7	4	1	10	8	6	
Vardas426      Pavarde426      7	3	1	3	3	1	1	8	5	10	
Vardas427      Pavarde427      3	6	8	5	3	7	10	9	6	2	
Vardas428      Pavarde428      2	3	3	7	7	4	9	5	1	6	
Vardas429      Pavarde429      1	8	10	4	2	10	10	3	7	7	
Vardas430      Pavarde430      3	6	6	8	7	8	8	2	2	6	
Vardas431      Pavarde431      7	1	9	4	5	3	2	4	3	7	
Vardas432      Pavarde432      2	5	10	6	5	5	1	5	8	6	
Vardas433      Pavarde433      5	7	4	2	7	6	7	10	6	6	
Vardas434      Pavarde434      7	9	7	2	2	7	2	6	6	2	
Vardas435      Pavarde435      10	6	5	7	1	6	9	6	7	3	
Vardas436      Pavarde436      10	9	3	4	2	6	8	10	8	3	
Vardas437      Pavarde437      1	9	8	8	5	10	3	4	9	3	
Vardas438      Pavarde438      3	1	10	9	8	2	6	6	4	4	
Vardas439      Pavarde439      2	5	1	2	4	2	10	10	8	1	
Vardas440      Pavarde440      5	3	2	3	6	8	4	4	6	8	
Vardas441      Pavarde441      6	7	8	6	2	4	5	4	8	9	
Vardas442      Pavarde442      6	3	4	4	4	10	3	10	9	5	
Vardas443      Pavarde443      1	9	6	1	9	7	9	3	3	3	
Vardas444      Pavarde444      6	10	4	5	4	10	10	9	1	7	
Vardas445      Pavarde445      10	7	6	8	1	1	2	9	7	2	
Vardas446      Pavarde446      10	3	5	3	4	4	4	2	3	1	
Vardas447      Pavarde447      9	7	5	7	8	6	9	10	8	6	
Vardas448      Pavarde448      5	9	8	7	6	1	5	2	5	1	
Vardas449      Pavarde449      5	3	2	10	7	9	1	9	6	2	
Vardas450      Pavarde450      9	8	1	5	4	5	10	5	2	1	
Vardas451      Pavarde451      4	4	4	8	1	9	10	1	7	1	
Vardas452      Pavarde452      6	5	4	5	3	2	7	9	5	3	
Vardas453      Pavarde453      9	5	10	10	3	8	10	10	8	7	
Vardas454      Pavarde454      6	2	9	3	6	10	1	2	9	9	
Vardas455      Pavarde455      2	5	1	2	2	9	5	6	2	9	
Vardas456      Pavarde456      10	2	8	3	6	4	2	6	5	8	
Vardas457      Pavarde457      6	10	9	6	9	9	5	1	3	7	
Vardas458      Pavarde458      10	8	2	6	3	10	1	5	2	6	
Vardas459      Pavarde459      3	3	10	8	10	5	10	8	8	2	
Vardas460      Pavarde460      4	3	4	6	7	8	3	7	1	2	
Vardas461      Pavarde461      10	6	3	10	6	2	9	8	4	2	
Vardas462      Pavarde462      6	3	6	4	6	4	8	9	1	8	
Vardas463      Pavarde463      10	10	8	1	1	2	7	3	9	10	
Vardas464      Pavarde464      10	4	6	9	10	7	6	5	7	7	
Vardas465      Pavarde465      7	1	1	4	6	6	6	1	2	2	
Vardas466      Pavarde466      9	8	7	7	2	6	8	2	4	1	
Vardas467      Pavarde467      6	3	7	4	5	8	4	8	2	4	
Vardas468      Pavarde468      6	7	4	7	9	9	8	10	9	10	
Vardas469      Pavarde469      6	6	1	6	7	10	4	7	4	5	
Vardas470      Pavarde470      7	5	4	7	6	1	4	1	5	4	
Vardas471      Pavarde471      8	9	1	7	7	3	4	5	7	9	
Vardas472      Pavarde472      2	1	9	8	1	8	8	1	2	6	
Vardas473      Pavarde473      9	8	3	3	10	2	5	5	2	5	
Vardas474      Pavarde474      1	9	7	1	9	1	3	10	7	8	
Vardas475      Pavarde475      5	7	1	5	5	9	2	8	9	4	
Vardas476      Pavarde476      3	6	3	10	10	10	5	3	6	5	
Vardas477      Pavarde477      10	2	6	9	7	5	3	5	8	8	
Vardas478      Pavarde478      9	1	4	7	4	5	2	10	1	4	
Vardas479      Pavarde479      4	10	3	1	10	3	3	1	8	9	
Vardas480      Pavarde480      7	1	3	8	1	2	9	8	6	6	
Vardas481      Pavarde481      1	6	6	7	2	1	6	3	6	8	
Vardas482      Pavarde482      3	6	6	4	1	8	6	9	8	4	
Vardas483      Pavarde483      4	9	10	9	3	4	8	8	1	7	
Vardas484      Pavarde484      3	6	3	9	6	6	7	1	2	5	
Vardas485      Pavarde485      6	9	9	8	7	8	2	10	1	3	
Vardas486      Pavarde486      10	2	1	8	3	5	8	9	7	5	
Vardas487      Pavarde487      10	4	7	8	5	5	5	10	8	9	
Vardas488      Pavarde488      9	9	3	2	5	8	4	1	7	5	
Vardas489      Pavarde489      4	8	3	7	8	9	1	1	3	3	
Vardas490      Pavarde490      8	1	9	2	1	8	9	4	3	9	
Vardas491      Pavarde491      8	2	8	10	3	10	5	7	6	1	
Vardas492      Pavarde492      5	9	2	7	7	2	8	7	9	5	
Vardas493      Pavarde493      1	3	4	5	4	5	1	6	4	9	
Vardas494      Pavarde494      1	9	10	4	6	9	2	2	6	6	
Vardas495      Pavarde495      6	4	7	4	9	5	8	8	2	7	
Vardas496      Pavarde496      5	7	7	1	9	5	3	7	4	9	
Vardas497      Pavarde497      6	5	6	6	9	5	3	7	7	7	
Vardas498      Pavarde498      1	4	10	6	1	10	6	8	9	4	
Vardas499      Pavarde499      8	4	2	10	10	6	10	8	1	2	
Vardas500      Pavarde500      3	7	1	8	5	4	3	3	3	7	
Vardas501      Pavarde501      10	8	6	10	4	1	8	7	7	5	
Vardas502      Pavarde502      3	1	1	4	4	7	3	3	6	1	
Vardas503      Pavarde503      8	2	2	10	6	6	9	5	2	2	
Vardas504      Pavarde504      8	9	7	5	2	8	3	5	7	1	
Vardas505      Pavarde505      8	6	2	1	10	2	8	2	4	7	
Vardas506      Pavarde506      1	7	4	3	3	3	2	9	1	9	
Vardas507      Pavarde507      8	3	1	8	10	10	9	1	6	9	
Vardas508      Pavarde508      6	5	7	2	10	2	8	2	7	6	
Vardas509      Pavarde509      2	10	3	1	2	10	4	1	9	1	
Vardas510      Pavarde510      3	8	4	1	5	4	4	9	4	10	
Vardas511      Pavarde511      10	5	6	3	5	8	10	5	7	9	
Vardas512      Pavarde512      8	8	4	6	10	1	10	2	1	8	
Vardas513      Pavarde513      9	5	5	4	5	3	5	3	6	2	
Vardas514      Pavarde514      3	8	8	2	8	3	10	3	9	5	
Vardas515      Pavarde515      5	5	4	9	1	1	7	4	5	1	
Vardas516      Pavarde516      10	2	5	4	5	10	2	8	2	8	
Vardas517      Pavarde517      10	2	3	3	9	5	3	5	6	7	
Vardas518      Pavarde518      10	8	7	10	8	6	8	1	3	8	
Vardas519      Pavarde519      3	1	4	7	10	3	3	6	4	6	
Vardas520      Pavarde520      5	10	3	1	6	2	8	2	10	1	
Vardas521      Pavarde521      10	2	1	3	5	6	3	8	7	3	
Vardas522      Pavarde522      2	6	10	4	9	6	7	6	2	8	
Vardas523      Pavarde523      7	8	7	5	8	8	9	1	10	10	
Vardas524      Pavarde524      10	6	9	10	10	10	10	6	4	3	
Vardas525      Pavarde525      3	4	2	3	5	2	1	3	1	3	
Vardas526      Pavarde526      8	9	1	8	6	5	2	2	6	6	
Vardas527      Pavarde527      8	9	10	1	1	8	7	7	7	4	
Vardas528      Pavarde528      4	9	8	5	7	9	8	7	4	10	
Vardas529      Pavarde529      2	8	1	7	5	9	2	9	3	8	
Vardas530      Pavarde530      8	2	8	5	6	3	8	4	8	3	
Vardas531      Pavarde531      4	9	9	2	2	3	1	7	2	7	
Vardas532      Pavarde532      5	8	2	9	10	8	9	5	3	8	
Vardas533      Pavarde533      9	1	3	3	2	8	7	7	5	8	
Vardas534      Pavarde534      1	7	5	8	10	5	4	8	5	3	
Vardas535      Pavarde535      2	1	3	1	5	7	6	3	10	5	
Vardas536      Pavarde536      1	5	2	10	10	3	6	4	5	2	
Vardas537      Pavarde537      8	3	2	9	9	1	9	5	6	7	
Vardas538      Pavarde538      6	6	7	3	10	3	3	7	2	3	
Vardas539      Pavarde539      5	2	1	6	9	8	7	4	10	8	
Vardas540      Pavarde540      5	7	10	4	9	4	3	6	5	10	
Vardas541      Pavarde541      6	8	5	6	3	3	4	2	6	7	
Vardas542      Pavarde542      7	9	4	9	3	5	3	5	5	3	
Vardas543      Pavarde543      3	5	1	10	2	1	4	1	5	8	
Vardas544      Pavarde544      4	7	8	1	1	7	8	9	4	2	
Vardas545      Pavarde545      5	4	5	2	3	3	10	9	5	1	
Vardas546      Pavarde546      2	10	4	7	9	5	5	6	4	10	
Vardas547      Pavarde547      7	3	1	10	2	6	1	6	1	1	
Vardas548      Pavarde548      10	10	5	3	3	9	4	3	5	6	
Vardas549      Pavarde549      3	7	9	3	3	10	7	9	1	3	
Vardas550      Pavarde550      5	1	6	6	3	7	9	4	5	4	
Vardas551      Pavarde551      2	8	7	2	3	4	6	1	6	8	
Vardas552      Pavarde552      5	4	8	5	10	3	10	4	9	10	
Vardas553      Pavarde553      1	3	8	10	4	7	6	6	10	2	
Vardas554      Pavarde554      1	5	4	4	4	2	7	4	5	3	
Vardas555      Pavarde555      8	2	8	10	9	9	5	8	8	8	
Vardas556      Pavarde556      9	8	4	9	2	1	10	8	2	5	
Vardas557      Pavarde557      8	10	10	2	7	1	4	10	3	5	
Vardas558      Pavarde558      10	1	5	3	7	5	6	10	5	2	
Vardas559      Pavarde559      10	10	5	7	7	4	10	7	6	1	
Vardas560      Pavarde560      9	4	5	1	9	4	2	7	3	3	
Vardas561      Pavarde561      5	8	1	1	8	3	1	5	3	8	
Vardas562      Pavarde562      6	6	10	6	1	6	8	3	7	1	
Vardas563      Pavarde563      1	7	6	9	9	9	4	5	7	3	
Vardas564      Pavarde564      4	10	5	3	4	9	9	9	1	9	
Vardas565      Pavarde565      6	1	3	9	9	1	8	1	7	1	
Vardas566      Pavarde566      5	2	4	9	5	2	10	8	7	4	
Vardas567      Pavarde567      2	3	7	9	2	3	7	9	10	2	
Vardas568      Pavarde568      9	2	5	8	10	9	6	6	7	10	
Vardas569      Pavarde569      4	4	2	3	7	9	10	9	3	9	
Vardas570      Pavarde570      5	9	7	9	3	1	9	3	9	1	
Vardas571      Pavarde571      9	5	9	10	1	4	10	3	1	10	
Vardas572      Pavarde572      5	2	4	2	8	6	8	8	1	1	
Vardas573      Pavarde573      8	2	5	6	4	3	10	6	1	2	
Vardas574      Pavarde574      7	2	3	5	5	4	5	7	5	8	
Vardas575      Pavarde575      2	7	3	2	10	2	4	9	6	1	
Vardas576      Pavarde576      8	5	5	3	3	10	10	1	3	10	
Vardas577      Pavarde577      10	6	4	2	2	4	4	10	9	1	
Vardas578      Pavarde578      8	9	2	6	7	2	5	1	10	1	
Vardas579      Pavarde579      8	10	9	1	7	10	1	7	9	7	
Vardas580      Pavarde580      4	4	4	9	6	4	7	4	4	2	
Vardas581      Pavarde581      5	10	4	3	8	8	7	7	10	8	
Vardas582      Pavarde582      1	9	7	3	9	7	9	8	9	5	
Vardas583      Pavarde583      7	7	9	1	1	10	4	4	6	1	
Vardas584      Pavarde584      5	10	3	5	4	4	5	8	6	10	
Vardas585      Pavarde585      1	3	9	2	1	8	3	4	6	10	
Vardas586      Pavarde586      8	5	7	1	1	10	4	9	5	2	
Vardas587      Pavarde587      3	10	5	7	9	8	9	1	8	3	
Vardas588      Pavarde588      7	7	1	9	5	9	9	10	2	4	
Vardas589      Pavarde589      10	4	9	10	10	9	9	6	2	2	
Vardas590      Pavarde590      1	6	8	10	7	1	4	4	10	3	
Vardas591      Pavarde591      2	2	10	7	1	10	10	2	3	3	
Vardas592      Pavarde592      2	10	4	7	2	7	6	5	8	7	
Vardas593      Pavarde593      5	9	6	8	8	7	5	5	5	6	
Vardas594      Pavarde594      2	7	1	1	2	7	10	3	4	8	
Vardas595      Pavarde595      2	10	6	4	4	7	6	3	8	6	
Vardas596      Pavarde596      9	4	6	3	7	1	8	7	3	6	
Vardas597      Pavarde597      7	2	2	10	10	9	10	2	4	3	
Vardas598      Pavarde598      8	10	6	2	8	10	5	3	6	8	
Vardas599      Pavarde599      2	4	3	5	7	1	1	4	2	2	
Vardas600      Pavarde600      7	5	6	2	6	7	1	8	4	4	
Vardas601      Pavarde601      1	6	10	5	4	7	3	2	6	4	
Vardas602      Pavarde602      9	3	10	6	5	1	5	4	6	4	
Vardas603      Pavarde603      2	8	6	10	9	4	3	6	7	8	
Vardas604      Pavarde604      9	8	2	6	3	8	7	6	2	6	
Vardas605      Pavarde605      1	1	7	7	4	1	4	10	5	9	
Vardas606      Pavarde606      1	10	4	6	5	8	3	7	7	6	
Vardas607      Pavarde607      8	6	10	10	6	9	10	4	4	5	
Vardas608      Pavarde608      10	7	1	4	5	2	10	10	3	6	
Vardas609      Pavarde609      9	3	1	8	9	6	1	9	2	4	
Vardas610      Pavarde610      9	2	4	3	6	8	1	4	2	10	
Vardas611      Pavarde611      8	7	2	4	5	1	9	8	2	7	
Vardas612      Pavarde612      7	3	1	5	4	9	10	6	5	2	
Vardas613      Pavarde613      8	1	10	10	9	10	2	5	1	5	
Vardas614      Pavarde614      10	9	10	4	7	1	2	7	6	3	
Vardas615      Pavarde615      4	8	2	5	3	8	6	4	1	5	
Vardas616      Pavarde616      10	5	6	8	3	10	6	2	9	1	
Vardas617      Pavarde617      3	9	7	4	1	6	5	2	5	5	
Vardas618      Pavarde618      4	3	9	2	2	4	6	9	10	10	
Vardas619      Pavarde619      3	1	2	1	9	6	2	5	7	3	
Vardas620      Pavarde620      5	8	3	7	5	1	8	6	9	8	
Vardas621      Pavarde621      6	10	1	6	3	7	7	5	2	8	
Vardas622      Pavarde622      9	4	2	6	10	5	8	7	4	3	
Vardas623      Pavarde623      6	1	8	1	9	6	4	4	1	3	
Vardas624      Pavarde624      1	2	7	6	7	3	2	6	7	6	
Vardas625      Pavarde625      7	7	3	5	7	9	3	5	9	8	
Vardas626      Pavarde626      6	1	5	1	8	9	10	3	5	4	
Vardas627      Pavarde627      9	5	3	2	2	2	1	3	8	4	
Vardas628      Pavarde628      3	4	7	6	2	3	7	1	8	10	
Vardas629      Pavarde629      10	4	5	3	8	6	2	5	10	7	
Vardas630      Pavarde630      2	4	10	8	7	10	3	1	7	1	
Vardas631      Pavarde631      6	1	5	8	8	6	3	8	2	6	
Vardas632      Pavarde632      2	3	9	10	1	9	10	2	3	9	
Vardas633      Pavarde633      2	10	7	9	5	3	5	5	9	7	
Vardas634      Pavarde634      7	2	10	5	7	5	10	4	7	4	
Vardas635      Pavarde635      10	3	1	1	6	4	4	10	1	7	
Vardas636      Pavarde636      3	2	1	1	9	3	4	3	7	4	
Vardas637      Pavarde637      4	1	2	7	10	5	2	10	6	9	
Vardas638      Pavarde638      8	2	6	4	2	5	10	8	7	5	
Vardas639      Pavarde639      4	10	7	2	1	5	3	3	7	7	
Vardas640      Pavarde640      1	7	2	6	5	9	5	6	1	5	
Vardas641      Pavarde641      10	5	7	3	1	9	4	7	5	5	
Vardas642      Pavarde642      6	9	2	9	7	1	1	9	7	9	
Vardas643      Pavarde643      5	6	4	6	5	9	6	1	5	8	
Vardas644      Pavarde644      5	2	10	4	8	5	3	2	8	2	
Vardas645      Pavarde645      2	1	9	4	7	4	9	3	4	5	
Vardas646      Pavarde646      8	7	4	8	4	5	6	10	6	9	
Vardas647      Pavarde647      4	9	8	9	4	9	4	7	3	3	
Vardas648      Pavarde648      9	3	10	6	8	6	6	2	6	5	
Vardas649      Pavarde649      8	4	4	5	10	8	5	4	6	7	
Vardas650      Pavarde650      6	6	5	4	1	3	2	7	1	9	
Vardas651      Pavarde651      2	9	3	4	2	9	3	2	4	8	
Vardas652      Pavarde652      5	8	5	4	3	4	1	10	4	5	
Vardas653      Pavarde653      2	7	10	7	3	4	5	8	9	1	
Vardas654      Pavarde654      3	5	1	6	6	3	5	8	3	6	
Vardas655      Pavarde655      3	8	5	6	10	4	6	5	7	9	
Vardas656      Pavarde656      8	7	8	9	7	4	9	8	10	6	
Vardas657      Pavarde657      8	5	7	9	5	2	8	5	5	1	
Vardas658      Pavarde658      3	8	10	2	1	5	5	10	7	9	
Vardas659      Pavarde659      2	1	3	4	5	6	7	10	8	5	
Vardas660      Pavarde660      7	2	9	9	1	6	4	7	10	8	
Vardas661      Pavarde661      6	3	1	3	7	8	5	9	4	7	
Vardas662      Pavarde662      1	3	10	4	1	3	8	2	5	4	
Vardas663      Pavarde663      5	9	6	2	1	3	5	4	3	7	
Vardas664      Pavarde664      6	8	5	5	5	6	6	7	10	3	
Vardas665      Pavarde665      5	10	4	8	5	10	9	6	3	10	
Vardas666      Pavarde666      9	10	4	8	5	10	8	9	5	9	
Vardas667      Pavarde667      2	10	2	5	6	10	9	3	3	4	
Vardas668      Pavarde668      8	5	5	1	10	2	1	9	9	5	
Vardas669      Pavarde669      6	6	10	10	7	2	8	1	1	5	
Vardas670      Pavarde670      5	5	4	10	9	10	3	4	7	2	
Vardas671      Pavarde671      5	5	2	10	9	9	2	1	2	7	
Vardas672      Pavarde672      1	5	5	6	10	5	9	7	1	4	
Vardas673      Pavarde673      8	3	5	9	5	5	2	1	8	7	
Vardas674      Pavarde674      5	7	10	8	5	10	2	2	9	10	
Vardas675      Pavarde675      4	2	6	9	6	6	2	3	3	5	
Vardas676      Pavarde676      5	3	3	2	7	3	7	1	3	10	
Vardas677      Pavarde677      2	6	10	1	5	1	9	6	10	10	
Vardas678      Pavarde678      10	10	7	9	4	8	4	7	1	3	
Vardas679      Pavarde679      5	4	8	3	6	9	3	8	5	10	
Vardas680      Pavarde680      3	4	4	6	4	3	6	2	3	5	
Vardas681      Pavarde681      4	7	1	7	5	7	5	4	3	4	
Vardas682      Pavarde682      1	6	2	9	5	10	4	4	5	10	
Vardas683      Pavarde683      6	6	8	3	2	1	2	8	8	6	
Vardas684      Pavarde684      5	5	7	8	8	8	7	8	2	4	
Vardas685      Pavarde685      6	6	3	2	1	6	10	9	1	1	
Vardas686      Pavarde686      6	5	6	4	8	3	4	1	5	2	
Vardas687      Pavarde687      10	2	7	4	2	4	7	9	5	5	
Vardas688      Pavarde688      6	3	3	8	1	2	4	4	1	2	
Vardas689      Pavarde689      5	1	8	2	8	8	4	10	5	8	
Vardas690      Pavarde690      7	4	1	5	6	4	1	2	1	6	
Vardas691      Pavarde691      3	2	9	10	3	10	5	6	7	3	
Vardas692      Pavarde692      8	7	3	9	6	5	3	5	7	10	
Vardas693      Pavarde693      6	5	2	5	5	2	8	8	1	9	
Vardas694      Pavarde694      3	8	5	7	8	9	7	3	4	7	
Vardas695      Pavarde695      2	8	1	4	8	3	4	3	9	1	
Vardas696      Pavarde696      7	10	3	2	3	5	10	2	9	5	
Vardas697      Pavarde697      2	9	2	10	5	4	9	9	5	9	
Vardas698      Pavarde698      5	3	6	2	1	1	7	2	1	2	
Vardas699      Pavarde699      5	5	5	8	3	6	1	6	9	7	
Vardas700      Pavarde700      7	3	4	10	8	7	10	8	9	9	
Vardas701      Pavarde701      10	4	4	6	2	10	3	9	10	4	
Vardas702      Pavarde702      10	2	7	2	10	6	2	1	10	1	
Vardas703      Pavarde703      9	3	5	3	8	7	10	9	8	2	
Vardas704      Pavarde704      3	6	3	6	10	6	4	9	2	7	
Vardas705      Pavarde705      10	7	1	4	9	2	2	3	8	9	
Vardas706      Pavarde706      5	5	4	4	7	10	3	7	2	7	
Vardas707      Pavarde707      2	4	8	2	2	4	3	6	6	6	
Vardas708      Pavarde708      6	6	1	2	1	10	8	6	1	2	
Vardas709      Pavarde709      6	9	10	9	8	9	2	1	9	7	
Vardas710      Pavarde710      6	9	6	10	7	1	2	2	6	7	
Vardas711      Pavarde711      2	7	10	4	10	1	5	6	5	4	
Vardas712      Pavarde712      4	3	2	9	10	1	6	7	2	1	
Vardas713      Pavarde713      4	2	2	1	4	8	10	6	9	6	
Vardas714      Pavarde714      2	8	9	4	5	5	1	10	1	2	
Vardas715      Pavarde715      4	10	5	9	8	3	2	8	7	6	
Vardas716      Pavarde716      1	10	9	7	2	2	5	3	6	9	
Vardas717      Pavarde717      6	1	5	7	8	4	4	5	4	5	
Vardas718      Pavarde718      2	7	5	4	1	4	9	1	5	3	
Vardas719      Pavarde719      6	9	6	10	10	7	1	10	7	4	
Vardas720      Pavarde720      8	10	8	1	6	1	3	8	5	10	
Vardas721      Pavarde721      1	1	5	5	9	7	6	9	10	8	
Vardas722      Pavarde722      1	9	2	8	8	5	3	4	7	8	
Vardas723      Pavarde723      7	7	1	6	7	3	3	2	10	2	
Vardas724      Pavarde724      3	7	8	7	2	6	9	1	9	3	
Vardas725      Pavarde725      7	3	1	6	6	4	8	10	9	7	
Vardas726      Pavarde726      9	5	2	2	7	1	2	2	8	7	
Vardas727      Pavarde727      5	5	2	9	6	6	7	9	3	1	
Vardas728      Pavarde728      3	8	6	4	8	3	6	5	10	2	
Vardas729      Pavarde729      3	3	5	2	9	2	8	5	2	7	
Vardas730      Pavarde730      3	5	3	9	3	6	10	1	6	6	
Vardas731      Pavarde731      8	7	9	6	10	9	4	3	3	8	
Vardas732      Pavarde732      9	8	5	4	9	3	3	2	7	1	
Vardas733      Pavarde733      6	2	2	5	3	10	9	2	10	3	
Vardas734      Pavarde734      5	6	4	2	9	7	10	5	10	3	
Vardas735      Pavarde735      8	2	5	5	1	3	4	10	9	9	
Vardas736      Pavarde736      2	5	4	3	6	1	9	2	9	2	
Vardas737      Pavarde737      6	7	2	2	4	9	6	1	7	1	
Vardas738      Pavarde738      2	8	4	1	10	5	3	1	5	7	
Vardas739      Pavarde739      4	7	1	1	5	10	6	2	3	9	
Vardas740      Pavarde740      10	9	2	10	7	5	6	9	5	10	
Vardas741      Pavarde741      6	7	7	7	10	10	8	2	9	8	
Vardas742      Pavarde742      9	1	4	8	7	10	10	10	2	5	
Vardas743      Pavarde743      8	2	3	9	8	5	8	2	6	9	
Vardas744      Pavarde744      6	9	9	4	8	7	6	8	5	5	
Vardas745      Pavarde745      5	6	4	5	6	9	3	10	9	5	
Vardas746      Pavarde746      7	1	6	7	6	9	7	5	1	4	
Vardas747      Pavarde747      6	9	7	4	6	9	3	3	5	5	
Vardas748      Pavarde748      10	1	7	4	10	8	8	5	2	8	
Vardas749      Pavarde749      4	3	1	8	7	10	1	1	4	6	
Vardas750      Pavarde750      8	9	7	4	10	2	3	4	5	5	
Vardas751      Pavarde751      10	1	3	10	3	7	10	2	9	3	
Vardas752      Pavarde752      5	3	4	8	3	6	7	8	1	4	
Vardas753      Pavarde753      2	10	9	9	7	2	9	5	10	10	
Vardas754      Pavarde754      4	2	5	9	2	10	10	4	5	8	
Vardas755      Pavarde755      4	8	10	2	6	10	2	9	1	10	
Vardas756      Pavarde756      8	4	3	10	1	8	2	10	6	9	
Vardas757      Pavarde757      1	8	5	3	1	6	5	9	10	6	
Vardas758      Pavarde758      1	8	6	5	2	7	3	8	7	10	
Vardas759      Pavarde759      3	3	8	4	3	8	9	9	3	8	
Vardas760      Pavarde760      1	6	9	10	3	8	9	8	1	5	
Vardas761      Pavarde761      9	1	6	4	2	9	6	5	5	5	
Vardas762      Pavarde762      1	6	4	1	7	5	10	3	3	2	
Vardas763      Pavarde763      3	6	10	6	2	8	7	5	4	1	
Vardas764      Pavarde764      4	1	10	8	10	2	3	9	3	7	
Vardas765      Pavarde765      7	5	8	8	10	3	7	8	6	8	
Vardas766      Pavarde766      3	10	1	9	10	9	1	2	9	3	
Vardas767      Pavarde767      10	5	8	5	2	7	9	6	7	2	
Vardas768      Pavarde768      2	6	3	6	8	3	4	2	3	2	
Vardas769      Pavarde769      3	3	2	7	6	10	9	10	7	4	
Vardas770      Pavarde770      7	9	9	10	9	10	1	1	10	10	
Vardas771      Pavarde771      7	9	2	1	5	9	9	1	8	4	
Vardas772      Pavarde772      5	7	1	9	6	2	5	4	1	10	
Vardas773      Pavarde773      3	4	9	8	2	10	6	8	4	4	
Vardas774      Pavarde774      1	5	9	2	4	1	1	7	6	6	
Vardas775      Pavarde775      8	5	7	9	4	1	7	6	2	5	
Vardas776      Pavarde776      1	4	4	4	8	9	3	6	3	8	
Vardas777      Pavarde777      9	8	10	1	9	2	6	8	5	10	
Vardas778      Pavarde778      7	6	5	10	4	10	9	3	3	6	
Vardas779      Pavarde779      7	8	8	6	6	3	9	10	5	2	
Vardas780      Pavarde780      8	1	9	10	1	8	9	4	1	1	
Vardas781      Pavarde781      3	4	6	8	6	9	4	5	5	4	
Vardas782      Pavarde782      4	6	1	10	8	6	6	4	5	9	
Vardas783      Pavarde783      5	7	2	5	7	6	4	9	9	4	
Vardas784      Pavarde784      3	1	9	5	10	5	7	4	9	3	
Vardas785      Pavarde785      9	5	3	6	6	10	5	6	6	2	
Vardas786      Pavarde786      1	10	3	3	1	3	9	7	3	6	
Vardas787      Pavarde787      3	3	7	4	6	4	8	6	4	2	
Vardas788      Pavarde788      8	8	2	2	6	10	7	6	3	3	
Vardas789      Pavarde789      5	4	5	8	1	2	10	3	1	2	
Vardas790      Pavarde790      5	2	1	10	4	1	6	3	5	1	
Vardas791      Pavarde791      1	1	8	8	1	1	7	8	7	3	
Vardas792      Pavarde792      1	5	4	10	2	10	2	2	7	1	
Vardas793      Pavarde793      5	1	8	4	8	4	4	6	5	6	
Vardas794      Pavarde794      5	9	8	8	1	3	4	7	9	7	
Vardas795      Pavarde795      9	2	6	8	7	9	3	1	10	10	
Vardas796      Pavarde796      6	8	7	9	10	9	2	7	2	4	
Vardas797      Pavarde797      8	5	9	10	1	6	9	10	10	7	
Vardas798      Pavarde798      3	2	8	2	3	5	5	4	6	6	
Vardas799      Pavarde799      6	1	2	5	8	10	2	10	4	3	
Vardas800      Pavarde800      4	6	2	6	1	7	3	9	5	9	
Vardas801      Pavarde801      6	9	6	5	3	10	6	10	9	4	
Vardas802      Pavarde802      1	5	5	5	6	5	7	1	4	9	
Vardas803      Pavarde803      9	8	4	8	9	10	1	5	9	1	
Vardas804      Pavarde804      7	6	2	7	9	1	3	6	10	4	
Vardas805      Pavarde805      1	6	3	5	4	3	3	10	6	2	
Vardas806      Pavarde806      4	6	1	5	2	3	7	2	9	10	
Vardas807      Pavarde807      6	10	1	3	6	4	5	5	6	5	
Vardas808      Pavarde808      10	2	8	3	7	10	9	10	3	8	
Vardas809      Pavarde809      8	1	9	3	1	9	3	10	2	9	
Vardas810      Pavarde810      10	10	7	9	4	4	4	8	7	3	
Vardas811      Pavarde811      6	4	4	10	10	5	8	4	1	8	
Vardas812      Pavarde812      1	9	10	6	7	10	8	10	6	7	
Vardas813      Pavarde813      10	7	8	10	5	8	5	1	7	6	
Vardas814      Pavarde814      1	5	9	6	8	6	7	4	8	9	
Vardas815      Pavarde815      8	10	7	10	9	5	1	10	1	5	
Vardas816      Pavarde816      4	5	8	6	2	5	4	7	7	5	
Vardas817      Pavarde817      8	8	6	5	4	8	4	10	9	6	
Vardas818      Pavarde818      2	7	9	2	8	10	10	1	7	10	
