Vardas         Pavarde         ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	Egz.
Vardas2316     Pavarde2316     2	5	8	2	4	8	7	6	10	2	
Vardas2317     Pavarde2317     9	4	9	3	1	5	1	9	2	2	
Vardas2318     Pavarde2318     8	8	5	2	5	2	9	3	6	4	
Vardas2319     Pavarde2319     10	10	9	10	5	1	6	4	4	1	
Vardas2320     Pavarde2320     7	1	6	9	8	2	7	7	4	7	
Vardas2321     Pavarde2321     7	4	7	5	7	4	3	5	6	4	
Vardas2322     Pavarde2322     8	8	8	3	9	1	6	5	10	1	
Vardas2323     Pavarde2323     9	10	5	5	5	2	10	5	8	7	
Vardas2324     Pavarde2324     5	9	3	8	9	3	2	9	5	5	
Vardas2325     Pavarde2325     1	3	5	4	7	6	9	3	8	7	
Vardas2326     Pavarde2326     7	8	9	2	5	7	8	7	9	7	
Vardas2327     Pavarde2327     6	3	8	6	3	3	9	10	10	6	
Vardas2328     Pavarde2328     6	4	9	6	9	2	7	4	10	6	
Vardas2329     Pavarde2329     10	5	1	10	8	8	8	8	7	3	
Vardas2330     Pavarde2330     3	1	8	9	5	6	6	4	4	1	
Vardas2331     Pavarde2331     10	7	2	7	10	9	9	9	5	7	
Vardas2332     Pavarde2332     6	10	3	5	5	10	5	6	1	10	
Vardas2333     Pavarde2333     2	6	5	2	2	8	4	1	5	2	
Vardas2334     Pavarde2334     10	3	4	5	3	5	3	10	8	3	
Vardas2335     Pavarde2335     6	2	3	10	2	6	9	4	7	4	
Vardas2336     Pavarde2336     10	6	4	8	1	3	9	7	1	8	
Vardas2337     Pavarde2337     1	9	1	6	7	4	5	10	1	3	
Vardas2338     Pavarde2338     1	10	6	10	4	3	10	2	9	8	
Vardas2339     Pavarde2339     6	9	10	9	3	8	2	10	3	3	
Vardas2340     Pavarde2340     6	4	8	4	1	7	9	9	5	7	
Vardas2341     Pavarde2341     8	9	10	8	10	7	7	5	5	7	
Vardas2342     Pavarde2342     10	1	10	5	7	7	7	2	10	4	
Vardas2343     Pavarde2343     8	1	9	9	8	5	5	9	9	9	
Vardas2344     Pavarde2344     8	7	10	4	7	4	5	3	2	1	
Vardas2345     Pavarde2345     7	9	3	3	5	6	1	7	8	9	
Vardas2346     Pavarde2346     6	7	2	5	6	8	7	10	6	1	
Vardas2347     Pavarde2347     8	7	8	5	5	9	1	7	6	9	
Vardas2348     Pavarde2348     2	6	3	7	2	6	8	1	7	9	
Vardas2349     Pavarde2349     8	6	2	9	2	1	8	10	6	5	
Vardas2350     Pavarde2350     6	10	1	6	10	5	4	10	8	9	
Vardas2351     Pavarde2351     7	7	8	9	1	4	3	1	5	5	
Vardas2352     Pavarde2352     9	7	9	8	8	4	7	6	1	1	
Vardas2353     Pavarde2353     10	2	9	1	4	10	9	7	5	10	
Vardas2354     Pavarde2354     3	9	8	3	5	7	7	8	4	3	
Vardas2355     Pavarde2355     9	8	9	10	7	8	7	8	5	5	
Vardas2356     Pavarde2356     6	9	7	8	4	4	5	3	8	6	
Vardas2357     Pavarde2357     8	5	5	1	2	5	6	3	4	4	
Vardas2358     Pavarde2358     3	9	3	5	5	10	9	8	4	4	
Vardas2359     Pavarde2359     3	6	2	3	5	7	8	8	7	3	
Vardas2360     Pavarde2360     7	10	9	6	3	1	6	9	1	1	
Vardas2361     Pavarde2361     6	1	7	2	7	2	10	5	6	1	
Vardas2362     Pavarde2362     1	3	10	9	4	3	10	3	4	2	
Vardas2363     Pavarde2363     5	2	6	4	1	10	10	3	3	3	
Vardas2364     Pavarde2364     6	5	8	4	5	6	4	10	9	9	
Vardas2365     Pavarde2365     5	5	6	3	10	9	9	3	4	2	
Vardas2366     Pavarde2366     1	9	1	9	3	5	8	2	5	7	
Vardas2367     Pavarde2367     1	2	7	6	3	6	3	7	8	1	
Vardas2368     Pavarde2368     3	10	6	4	3	10	9	5	3	6	
Vardas2369     Pavarde2369     2	2	4	6	8	3	1	4	5	7	
Vardas2370     Pavarde2370     5	9	8	8	6	2	8	6	8	8	
Vardas2371     Pavarde2371     10	7	6	2	4	10	1	9	1	4	
Vardas2372     Pavarde2372     3	5	9	10	8	2	8	5	1	8	
Vardas2373     Pavarde2373     9	8	7	9	7	7	8	8	4	5	
Vardas2374     Pavarde2374     9	7	7	3	9	1	10	1	4	8	
Vardas2375     Pavarde2375     1	4	7	4	1	6	2	5	2	2	
Vardas2376     Pavarde2376     3	6	9	1	9	10	1	8	3	4	
Vardas2377     Pavarde2377     5	10	4	5	6	9	1	5	1	7	
Vardas2378     Pavarde2378     6	4	6	2	5	7	1	1	7	5	
Vardas2379     Pavarde2379     5	5	10	8	10	2	2	7	9	3	
Vardas2380     Pavarde2380     4	10	5	6	6	9	9	5	8	1	
Vardas2381     Pavarde2381     10	7	1	4	4	2	7	7	4	8	
Vardas2382     Pavarde2382     3	6	2	6	3	5	4	9	8	10	
Vardas2383     Pavarde2383     3	4	7	2	7	7	9	8	4	3	
Vardas2384     Pavarde2384     9	6	5	2	2	8	7	4	1	10	
Vardas2385     Pavarde2385     6	9	4	3	4	6	6	10	1	1	
Vardas2386     Pavarde2386     3	10	4	5	2	4	4	7	6	5	
Vardas2387     Pavarde2387     7	6	4	6	9	10	5	10	1	4	
Vardas2388     Pavarde2388     5	6	2	7	8	5	9	2	8	10	
Vardas2389     Pavarde2389     4	7	8	2	10	7	4	1	7	1	
Vardas2390     Pavarde2390     7	1	3	4	8	2	7	4	3	4	
Vardas2391     Pavarde2391     3	4	5	10	1	7	4	8	6	9	
Vardas2392     Pavarde2392     9	8	4	9	4	7	2	6	3	7	
Vardas2393     Pavarde2393     8	10	5	7	3	7	1	2	8	2	
Vardas2394     Pavarde2394     1	1	10	8	8	5	6	8	1	8	
Vardas2395     Pavarde2395     10	5	3	8	10	6	2	3	8	8	
Vardas2396     Pavarde2396     10	10	2	9	10	7	9	7	2	3	
Vardas2397     Pavarde2397     6	1	9	1	1	1	4	9	2	8	
Vardas2398     Pavarde2398     9	9	6	8	9	3	10	4	1	7	
Vardas2399     Pavarde2399     2	3	7	6	1	5	9	2	5	10	
Vardas2400     Pavarde2400     4	9	4	6	9	9	7	1	6	10	
Vardas2401     Pavarde2401     1	10	10	3	5	7	5	9	3	4	
Vardas2402     Pavarde2402     4	6	9	1	7	5	4	4	2	10	
Vardas2403     Pavarde2403     3	5	7	9	1	5	4	6	4	2	
Vardas2404     Pavarde2404     2	7	5	7	5	3	7	4	8	8	
Vardas2405     Pavarde2405     7	3	8	10	8	1	3	5	10	9	
Vardas2406     Pavarde2406     8	6	4	8	10	7	6	7	10	8	
Vardas2407     Pavarde2407     3	5	7	2	3	4	8	2	10	3	
Vardas2408     Pavarde2408     9	8	10	2	6	2	7	8	7	3	
Vardas2409     Pavarde2409     7	6	3	6	8	10	7	2	5	1	
Vardas2410     Pavarde2410     10	3	6	10	1	4	2	2	6	4	
Vardas2411     Pavarde2411     2	6	8	7	8	8	5	3	8	3	
Vardas2412     Pavarde2412     7	9	3	8	3	10	8	1	7	4	
Vardas2413     Pavarde2413     5	9	3	3	5	9	7	8	1	3	
Vardas2414     Pavarde2414     1	8	10	7	2	1	5	2	10	7	
Vardas2415     Pavarde2415     8	4	7	5	10	9	8	3	8	4	
Vardas2416     Pavarde2416     6	5	4	1	6	8	7	6	1	3	
Vardas2417     Pavarde2417     1	4	6	2	1	8	4	7	6	5	
Vardas2418     Pavarde2418     10	10	10	6	5	9	5	5	7	9	
Vardas2419     Pavarde2419     2	3	6	2	9	3	9	6	1	8	
Vardas2420     Pavarde2420     8	9	3	7	8	8	10	9	4	1	
Vardas2421     Pavarde2421     8	5	7	5	10	8	6	10	4	8	
Vardas2422     Pavarde2422     4	8	9	10	8	5	7	7	6	3	
Vardas2423     Pavarde2423     6	6	4	9	2	5	1	4	2	3	
Vardas2424     Pavarde2424     4	5	10	9	6	5	9	4	8	7	
Vardas2425     Pavarde2425     5	8	4	1	2	8	10	5	8	9	
Vardas2426     Pavarde2426     9	9	8	1	1	5	7	10	7	2	
Vardas2427     Pavarde2427     6	3	4	2	4	4	2	7	10	4	
Vardas2428     Pavarde2428     4	3	7	8	1	3	2	9	8	10	
Vardas2429     Pavarde2429     6	8	5	1	2	5	7	8	10	2	
Vardas2430     Pavarde2430     4	1	6	2	6	9	7	10	8	6	
Vardas2431     Pavarde2431     3	2	6	8	2	2	9	8	5	7	
Vardas2432     Pavarde2432     3	8	1	10	7	4	4	6	4	5	
Vardas2433     Pavarde2433     7	10	6	9	6	3	9	7	9	9	
Vardas2434     Pavarde2434     4	10	9	2	2	10	10	6	10	10	
Vardas2435     Pavarde2435     6	2	4	9	9	5	2	2	3	5	
Vardas2436     Pavarde2436     10	4	9	9	1	3	8	1	2	1	
Vardas2437     Pavarde2437     2	10	10	9	8	1	5	8	7	10	
Vardas2438     Pavarde2438     10	8	2	6	5	6	8	10	9	6	
Vardas2439     Pavarde2439     8	6	5	2	10	1	8	7	5	3	
Vardas2440     Pavarde2440     9	10	5	5	9	5	4	7	7	7	
Vardas2441     Pavarde2441     2	6	6	2	8	3	5	3	10	10	
Vardas2442     Pavarde2442     6	10	2	6	1	6	8	9	1	1	
Vardas2443     Pavarde2443     8	6	5	2	9	2	9	9	9	6	
Vardas2444     Pavarde2444     5	7	6	10	9	7	8	5	8	4	
Vardas2445     Pavarde2445     1	7	9	8	6	2	9	4	5	5	
Vardas2446     Pavarde2446     2	6	9	4	3	1	10	10	8	2	
Vardas2447     Pavarde2447     10	4	5	6	4	4	5	4	3	6	
Vardas2448     Pavarde2448     3	4	8	6	8	8	9	6	8	3	
Vardas2449     Pavarde2449     3	2	3	2	2	8	10	1	8	8	
Vardas2450     Pavarde2450     9	10	8	4	5	6	4	5	1	7	
Vardas2451     Pavarde2451     2	7	5	8	9	10	1	10	10	5	
Vardas2452     Pavarde2452     6	8	1	8	6	7	10	4	7	9	
Vardas2453     Pavarde2453     10	3	8	3	5	2	8	7	10	1	
Vardas2454     Pavarde2454     3	8	5	8	6	1	3	6	10	3	
Vardas2455     Pavarde2455     1	1	3	8	7	6	4	10	9	4	
Vardas2456     Pavarde2456     8	5	2	5	9	10	10	4	9	3	
Vardas2457     Pavarde2457     10	6	4	8	5	4	2	6	1	6	
Vardas2458     Pavarde2458     10	2	3	2	8	4	5	10	3	10	
Vardas2459     Pavarde2459     6	9	8	7	1	3	8	2	2	5	
Vardas2460     Pavarde2460     10	1	1	2	4	3	10	7	10	1	
Vardas2461     Pavarde2461     10	8	1	5	1	4	4	3	8	10	
Vardas2462     Pavarde2462     9	9	4	10	1	5	7	5	10	10	
Vardas2463     Pavarde2463     10	3	5	7	8	1	4	9	4	7	
Vardas2464     Pavarde2464     3	2	1	9	8	1	9	10	8	1	
Vardas2465     Pavarde2465     7	4	3	2	2	1	3	9	3	1	
Vardas2466     Pavarde2466     8	8	6	6	9	3	5	3	10	9	
Vardas2467     Pavarde2467     7	1	3	4	6	2	6	6	1	6	
Vardas2468     Pavarde2468     6	9	4	9	5	4	2	10	7	10	
Vardas2469     Pavarde2469     2	7	4	1	10	6	5	8	7	10	
Vardas2470     Pavarde2470     6	5	10	3	1	9	7	7	7	7	
Vardas2471     Pavarde2471     7	4	10	5	9	7	8	3	1	9	
Vardas2472     Pavarde2472     3	1	1	4	10	5	4	4	10	9	
Vardas2473     Pavarde2473     10	6	7	5	1	6	3	4	9	8	
Vardas2474     Pavarde2474     8	9	1	7	4	5	6	9	6	7	
Vardas2475     Pavarde2475     8	4	8	9	10	7	1	6	10	9	
Vardas2476     Pavarde2476     3	7	3	3	8	2	2	8	1	5	
Vardas2477     Pavarde2477     10	1	2	1	7	7	7	4	7	8	
Vardas2478     Pavarde2478     6	8	6	1	5	8	7	1	4	4	
Vardas2479     Pavarde2479     9	6	5	2	5	4	9	4	5	9	
Vardas2480     Pavarde2480     9	5	10	3	6	7	10	8	2	3	
Vardas2481     Pavarde2481     8	4	3	6	6	5	2	10	6	5	
Vardas2482     Pavarde2482     10	10	7	1	9	8	6	10	7	2	
Vardas2483     Pavarde2483     7	8	4	5	10	7	4	10	10	6	
Vardas2484     Pavarde2484     3	4	3	3	4	10	1	9	5	10	
Vardas2485     Pavarde2485     7	2	3	6	8	8	3	5	3	5	
Vardas2486     Pavarde2486     6	9	5	2	10	5	10	4	1	8	
Vardas2487     Pavarde2487     10	8	6	3	5	10	9	9	8	2	
Vardas2488     Pavarde2488     10	6	2	8	1	3	6	6	1	8	
Vardas2489     Pavarde2489     2	9	6	7	3	8	6	4	7	1	
Vardas2490     Pavarde2490     2	4	8	10	7	10	5	1	5	1	
Vardas2491     Pavarde2491     9	1	3	4	3	9	6	7	5	1	
Vardas2492     Pavarde2492     5	10	5	7	3	8	8	1	10	2	
Vardas2493     Pavarde2493     8	10	8	6	3	4	2	8	9	9	
Vardas2494     Pavarde2494     3	3	1	3	8	2	3	8	2	7	
Vardas2495     Pavarde2495     9	4	6	5	7	4	3	10	1	7	
Vardas2496     Pavarde2496     9	3	5	8	6	5	5	8	6	2	
Vardas2497     Pavarde2497     1	2	10	1	9	1	9	6	6	7	
Vardas2498     Pavarde2498     2	4	10	7	4	5	4	2	4	7	
Vardas2499     Pavarde2499     9	9	1	4	10	2	9	4	5	2	
Vardas2500     Pavarde2500     8	3	1	5	5	1	6	9	10	7	
Vardas2501     Pavarde2501     2	1	3	8	2	5	6	9	1	9	
Vardas2502     Pavarde2502     10	6	5	7	4	1	2	7	5	2	
Vardas2503     Pavarde2503     6	5	9	4	2	2	5	7	7	4	
Vardas2504     Pavarde2504     7	3	6	3	3	10	7	7	7	8	
Vardas2505     Pavarde2505     5	3	3	5	9	2	8	10	3	6	
Vardas2506     Pavarde2506     5	9	9	4	7	1	7	2	8	9	
Vardas2507     Pavarde2507     2	8	2	6	8	10	9	2	7	4	
Vardas2508     Pavarde2508     7	6	10	1	5	3	5	5	7	6	
Vardas2509     Pavarde2509     1	2	6	10	4	2	6	7	2	5	
Vardas2510     Pavarde2510     7	10	8	2	8	10	2	9	8	9	
Vardas2511     Pavarde2511     10	1	10	3	10	6	2	10	2	6	
Vardas2512     Pavarde2512     2	5	6	2	6	4	7	2	5	9	
Vardas2513     Pavarde2513     9	2	2	2	5	3	2	7	1	3	
Vardas2514     Pavarde2514     7	9	2	2	9	7	5	4	6	4	
Vardas2515     Pavarde2515     7	9	5	8	1	8	1	7	4	4	
Vardas2516     Pavarde2516     4	2	9	10	5	7	3	6	6	8	
Vardas2517     Pavarde2517     4	4	3	4	9	10	9	10	2	9	
Vardas2518     Pavarde2518     7	1	10	5	3	1	9	6	7	8	
Vardas2519     Pavarde2519     6	10	5	3	4	4	8	8	3	1	
Vardas2520     Pavarde2520     10	4	8	6	1	1	4	9	7	6	
Vardas2521     Pavarde2521     7	7	8	2	9	4	8	4	9	9	
Vardas2522     Pavarde2522     1	3	1	2	7	6	7	3	2	1	
Vardas2523     Pavarde2523     7	9	8	4	4	5	9	6	9	9	
Vardas2524     Pavarde2524     9	4	2	4	9	2	4	1	5	10	
Vardas2525     Pavarde2525     6	8	6	8	3	4	7	9	10	9	
Vardas2526     Pavarde2526     10	9	9	9	2	6	7	6	1	7	
Vardas2527     Pavarde2527     6	5	9	9	9	1	7	6	8	1	
Vardas2528     Pavarde2528     6	3	1	3	5	6	2	10	7	1	
Vardas2529     Pavarde2529     4	4	7	4	10	5	6	10	3	4	
Vardas2530     Pavarde2530     1	2	1	3	2	2	9	3	7	5	
Vardas2531     Pavarde2531     3	2	7	10	7	3	6	1	2	5	
Vardas2532     Pavarde2532     10	4	9	7	6	1	5	4	7	4	
Vardas2533     Pavarde2533     2	6	6	6	8	7	7	10	7	3	
Vardas2534     Pavarde2534     8	4	7	10	10	7	6	4	3	1	
Vardas2535     Pavarde2535     10	8	2	4	2	4	8	8	2	6	
Vardas2536     Pavarde2536     8	4	6	2	2	3	10	8	6	1	
Vardas2537     Pavarde2537     1	7	7	8	4	6	10	6	4	5	
Vardas2538     Pavarde2538     6	10	3	3	4	2	8	6	2	9	
Vardas2539     Pavarde2539     2	7	3	2	3	7	3	2	1	9	
Vardas2540     Pavarde2540     9	10	10	6	6	9	5	8	5	3	
Vardas2541     Pavarde2541     8	4	6	10	4	10	10	4	3	2	
Vardas2542     Pavarde2542     5	10	4	10	8	5	10	6	2	5	
Vardas2543     Pavarde2543     4	2	3	6	5	8	4	7	9	10	
Vardas2544     Pavarde2544     9	6	9	6	8	9	7	1	8	3	
Vardas2545     Pavarde2545     5	6	6	10	9	7	4	7	3	8	
Vardas2546     Pavarde2546     1	5	1	5	1	10	4	10	4	4	
Vardas2547     Pavarde2547     4	5	9	8	1	8	9	6	10	10	
Vardas2548     Pavarde2548     3	8	8	5	2	8	2	6	5	9	
Vardas2549     Pavarde2549     1	2	3	6	6	4	8	7	3	6	
Vardas2550     Pavarde2550     10	2	5	3	7	4	5	4	3	5	
Vardas2551     Pavarde2551     3	8	4	4	3	5	5	3	1	6	
Vardas2552     Pavarde2552     2	3	8	7	1	4	10	9	3	6	
Vardas2553     Pavarde2553     2	5	7	2	6	2	10	6	1	4	
Vardas2554     Pavarde2554     1	2	4	10	9	8	2	4	5	7	
Vardas2555     Pavarde2555     4	5	2	8	6	10	6	6	1	9	
Vardas2556     Pavarde2556     6	3	10	2	9	1	5	8	10	7	
Vardas2557     Pavarde2557     6	2	9	2	3	2	9	1	5	10	
Vardas2558     Pavarde2558     10	5	3	6	2	9	9	7	2	8	
Vardas2559     Pavarde2559     10	4	9	4	2	8	8	1	7	6	
Vardas2560     Pavarde2560     5	2	4	3	9	3	2	2	6	9	
Vardas2561     Pavarde2561     2	7	1	8	9	9	2	8	1	10	
Vardas2562     Pavarde2562     10	5	6	4	10	1	3	6	9	9	
Vardas2563     Pavarde2563     4	7	7	10	1	2	5	8	3	10	
Vardas2564     Pavarde2564     10	1	10	8	4	4	8	6	7	9	
Vardas2565     Pavarde2565     1	5	5	4	8	1	8	8	1	10	
Vardas2566     Pavarde2566     8	10	5	7	3	10	1	6	5	6	
Vardas2567     Pavarde2567     3	6	4	2	9	3	5	8	7	6	
Vardas2568     Pavarde2568     5	7	9	1	3	3	5	8	1	8	
Vardas2569     Pavarde2569     1	5	1	1	1	7	5	7	6	6	
Vardas2570     Pavarde2570     6	6	1	9	1	1	5	1	9	10	
Vardas2571     Pavarde2571     5	3	9	2	2	3	8	5	8	4	
Vardas2572     Pavarde2572     2	7	2	7	5	1	5	9	10	1	
Vardas2573     Pavarde2573     4	5	7	4	7	5	5	4	5	10	
Vardas2574     Pavarde2574     1	10	2	3	2	5	6	7	3	2	
Vardas2575     Pavarde2575     2	9	1	7	9	5	2	7	10	2	
Vardas2576     Pavarde2576     10	4	5	10	3	9	5	9	6	2	
Vardas2577     Pavarde2577     3	8	2	5	7	8	10	10	9	7	
Vardas2578     Pavarde2578     7	2	1	7	4	6	2	9	9	8	
Vardas2579     Pavarde2579     10	8	4	7	9	8	8	6	1	9	
Vardas2580     Pavarde2580     8	3	8	4	4	6	8	7	7	1	
Vardas2581     Pavarde2581     1	9	6	6	5	3	4	6	8	8	
Vardas2582     Pavarde2582     1	9	1	4	4	1	3	10	6	9	
Vardas2583     Pavarde2583     5	6	2	5	7	10	5	10	6	8	
Vardas2584     Pavarde2584     4	1	8	8	9	1	4	5	1	9	
Vardas2585     Pavarde2585     4	6	4	3	7	3	9	10	3	10	
Vardas2586     Pavarde2586     4	8	7	8	1	9	5	6	4	3	
Vardas2587     Pavarde2587     2	6	4	3	5	2	4	5	3	8	
Vardas2588     Pavarde2588     2	9	4	1	8	5	9	4	3	6	
Vardas2589     Pavarde2589     7	3	5	9	1	8	3	6	7	9	
Vardas2590     Pavarde2590     2	6	7	6	6	6	3	10	1	6	
Vardas2591     Pavarde2591     3	1	9	8	1	5	2	5	9	3	
Vardas2592     Pavarde2592     4	10	10	3	2	3	9	2	3	7	
Vardas2593     Pavarde2593     4	9	6	7	7	2	10	9	5	2	
Vardas2594     Pavarde2594     7	10	5	7	9	1	2	9	7	3	
Vardas2595     Pavarde2595     7	8	6	8	9	6	6	6	6	6	
Vardas2596     Pavarde2596     4	6	6	8	2	9	5	6	9	8	
Vardas2597     Pavarde2597     8	3	7	10	4	7	6	8	8	6	
Vardas2598     Pavarde2598     10	9	2	8	2	8	9	3	5	7	
Vardas2599     Pavarde2599     9	4	3	4	2	7	8	7	7	3	
Vardas2600     Pavarde2600     6	1	1	4	9	10	8	3	9	9	
Vardas2601     Pavarde2601     5	6	10	7	7	7	1	8	8	8	
Vardas2602     Pavarde2602     5	7	5	3	3	8	3	10	2	6	
Vardas2603     Pavarde2603     4	4	4	2	5	5	8	7	5	2	
Vardas2604     Pavarde2604     2	8	2	6	4	7	9	6	3	3	
Vardas2605     Pavarde2605     5	7	9	7	1	10	9	6	7	2	
Vardas2606     Pavarde2606     10	7	4	2	1	5	4	6	9	10	
Vardas2607     Pavarde2607     2	6	7	3	7	4	8	7	9	7	
Vardas2608     Pavarde2608     8	8	5	1	5	10	4	4	1	1	
Vardas2609     Pavarde2609     6	9	6	3	2	9	8	1	9	10	
Vardas2610     Pavarde2610     4	3	2	6	2	7	8	9	10	4	
Vardas2611     Pavarde2611     4	10	2	6	2	5	7	9	1	9	
Vardas2612     Pavarde2612     5	5	8	2	1	5	10	8	10	6	
Vardas2613     Pavarde2613     8	4	4	6	10	1	5	2	1	8	
Vardas2614     Pavarde2614     2	2	1	8	10	2	4	1	4	5	
Vardas2615     Pavarde2615     6	4	8	5	7	3	9	3	4	7	
Vardas2616     Pavarde2616     9	6	5	8	4	10	6	9	10	7	
Vardas2617     Pavarde2617     2	7	10	7	5	9	8	4	5	3	
Vardas2618     Pavarde2618     6	7	2	4	6	6	4	6	2	3	
Vardas2619     Pavarde2619     9	3	8	4	4	10	3	8	1	4	
Vardas2620     Pavarde2620     1	5	2	2	7	9	7	5	6	2	
Vardas2621     Pavarde2621     2	3	9	8	6	7	9	1	7	8	
Vardas2622     Pavarde2622     7	1	6	6	8	9	10	6	3	6	
Vardas2623     Pavarde2623     8	9	10	9	7	2	5	6	4	8	
Vardas2624     Pavarde2624     5	8	8	3	3	8	8	5	6	5	
Vardas2625     Pavarde2625     8	6	5	9	4	8	10	2	7	5	
Vardas2626     Pavarde2626     3	9	9	2	8	5	10	3	10	8	
Vardas2627     Pavarde2627     1	1	3	5	5	6	10	3	10	5	
Vardas2628     Pavarde2628     10	1	1	10	4	4	3	6	1	8	
Vardas2629     Pavarde2629     7	6	6	5	3	6	4	1	6	9	
Vardas2630     Pavarde2630     2	1	7	7	6	3	10	5	3	6	
Vardas2631     Pavarde2631     7	6	2	8	7	9	8	6	9	9	
Vardas2632     Pavarde2632     5	6	7	4	2	3	9	3	8	1	
Vardas2633     Pavarde2633     9	10	2	9	4	10	9	7	2	4	
Vardas2634     Pavarde2634     9	10	1	9	9	7	10	9	9	6	
Vardas2635     Pavarde2635     9	7	2	8	1	9	6	1	8	10	
Vardas2636     Pavarde2636     2	5	6	1	8	8	6	1	2	10	
Vardas2637     Pavarde2637     10	3	9	10	10	4	8	6	4	6	
Vardas2638     Pavarde2638     2	4	8	6	8	5	8	3	7	7	
Vardas2639     Pavarde2639     1	3	7	3	9	1	10	4	6	2	
Vardas2640     Pavarde2640     4	8	8	6	6	5	1	10	5	4	
Vardas2641     Pavarde2641     7	3	7	1	9	1	9	8	4	7	
Vardas2642     Pavarde2642     4	4	9	5	7	4	3	4	3	6	
Vardas2643     Pavarde2643     7	3	1	3	8	10	6	8	1	10	
Vardas2644     Pavarde2644     10	6	3	9	7	1	10	8	7	3	
Vardas2645     Pavarde2645     6	8	1	9	4	6	4	10	10	4	
Vardas2646     Pavarde2646     6	5	7	3	5	5	4	4	10	1	
Vardas2647     Pavarde2647     9	6	4	7	3	6	3	8	1	4	
Vardas2648     Pavarde2648     8	5	10	8	5	2	1	4	6	10	
Vardas2649     Pavarde2649     4	6	7	10	7	10	5	5	4	3	
Vardas2650     Pavarde2650     9	4	10	2	6	9	1	5	3	7	
Vardas2651     Pavarde2651     5	1	5	5	10	1	4	3	6	5	
Vardas2652     Pavarde2652     10	1	5	6	2	7	4	1	6	3	
Vardas2653     Pavarde2653     1	4	10	7	4	9	1	10	8	8	
Vardas2654     Pavarde2654     7	4	3	5	6	9	2	8	8	5	
Vardas2655     Pavarde2655     10	4	5	4	6	5	8	7	8	7	
Vardas2656     Pavarde2656     1	4	8	6	10	9	6	3	5	8	
Vardas2657     Pavarde2657     1	3	9	6	9	6	7	5	7	8	
Vardas2658     Pavarde2658     3	5	4	3	8	10	1	1	9	6	
Vardas2659     Pavarde2659     5	1	10	4	5	5	4	4	1	9	
Vardas2660     Pavarde2660     3	10	6	1	3	9	5	9	4	4	
Vardas2661     Pavarde2661     10	10	2	5	5	7	6	6	2	6	
Vardas2662     Pavarde2662     2	7	1	3	7	9	5	5	6	7	
Vardas2663     Pavarde2663     6	2	7	10	3	3	2	4	9	1	
Vardas2664     Pavarde2664     3	4	2	9	2	2	8	10	9	6	
Vardas2665     Pavarde2665     9	9	3	6	7	4	7	6	4	1	
Vardas2666     Pavarde2666     5	3	6	10	9	1	4	2	10	1	
Vardas2667     Pavarde2667     1	10	8	10	7	2	4	5	3	5	
Vardas2668     Pavarde2668     1	7	6	8	8	5	9	8	1	10	
Vardas2669     Pavarde2669     9	7	5	2	3	3	4	3	6	6	
Vardas2670     Pavarde2670     3	1	3	4	3	9	6	4	5	3	
Vardas2671     Pavarde2671     5	5	8	1	5	2	6	2	8	9	
Vardas2672     Pavarde2672     8	6	6	8	3	9	1	9	10	4	
Vardas2673     Pavarde2673     3	2	7	1	4	5	2	8	8	6	
Vardas2674     Pavarde2674     2	2	7	5	8	1	10	9	10	3	
Vardas2675     Pavarde2675     5	1	9	5	7	3	3	5	10	1	
Vardas2676     Pavarde2676     9	8	8	4	10	4	3	1	3	4	
Vardas2677     Pavarde2677     10	1	8	9	1	1	9	5	5	8	
Vardas2678     Pavarde2678     9	8	2	1	3	8	1	9	1	9	
Vardas2679     Pavarde2679     5	3	3	6	2	3	3	1	9	8	
Vardas2680     Pavarde2680     5	10	10	2	3	7	2	1	4	10	
Vardas2681     Pavarde2681     8	3	8	10	9	8	8	4	9	1	
Vardas2682     Pavarde2682     4	4	1	1	2	7	4	3	6	5	
Vardas2683     Pavarde2683     4	10	10	9	10	10	1	10	7	1	
Vardas2684     Pavarde2684     3	9	6	4	4	7	6	4	1	6	
Vardas2685     Pavarde2685     7	8	4	8	8	7	10	9	1	10	
Vardas2686     Pavarde2686     6	2	3	2	5	2	7	3	9	7	
Vardas2687     Pavarde2687     2	1	6	10	9	4	4	2	2	7	
Vardas2688     Pavarde2688     3	9	7	4	10	2	2	1	9	6	
Vardas2689     Pavarde2689     8	1	10	9	1	6	9	3	5	8	
Vardas2690     Pavarde2690     2	5	2	5	5	2	9	10	3	8	
Vardas2691     Pavarde2691     9	9	9	5	7	7	1	2	10	9	
Vardas2692     Pavarde2692     10	10	6	3	7	3	5	4	10	1	
Vardas2693     Pavarde2693     1	10	7	3	8	8	7	9	3	7	
Vardas2694     Pavarde2694     3	3	8	8	4	1	3	8	10	7	
Vardas2695     Pavarde2695     1	10	7	4	6	8	4	8	9	2	
Vardas2696     Pavarde2696     7	10	8	7	8	4	5	9	7	3	
Vardas2697     Pavarde2697     9	4	6	5	9	3	2	4	6	3	
Vardas2698     Pavarde2698     4	10	1	9	5	6	6	4	6	4	
Vardas2699     Pavarde2699     1	3	8	5	9	8	8	1	2	2	
Vardas2700     Pavarde2700     1	9	10	2	1	6	4	7	3	2	
Vardas2701     Pavarde2701     2	5	6	7	9	5	3	9	8	3	
Vardas2702     Pavarde2702     6	2	8	1	9	1	5	7	2	2	
